Rupture,Magnitude,Aggregate Loss
trt=12|ses=0001|src=4-809|rup=027-01,6.6500000,35065696290.3000031
trt=12|ses=0001|src=4-642|rup=017-01,5.6500000,27234199336.7999992
trt=12|ses=0001|src=4-854|rup=023-01,6.2500000,5614491910.6999998
trt=12|ses=0001|src=4-676|rup=011-01,5.0500000,5392563419.7700005
trt=12|ses=0001|src=4-714|rup=013-01,5.2500000,4172274369.1199999
trt=12|ses=0001|src=4-649|rup=020-01,5.9500000,4112592246.4000001
trt=12|ses=0001|src=4-734|rup=012-01,5.1500000,4014386951.0900002
trt=12|ses=0001|src=4-679|rup=006-01,4.5500000,3382148384.8400002
trt=12|ses=0001|src=4-696|rup=009-01,4.8500000,3222042562.9899998
trt=12|ses=0001|src=4-529|rup=018-01,5.7500000,3145863569.4099998
trt=12|ses=0001|src=4-680|rup=006-01,4.5500000,2656793274.1500001
trt=12|ses=0001|src=4-639|rup=008-01,4.7500000,2648292567.6500001
trt=12|ses=0001|src=4-660|rup=006-01,4.5500000,2463981100.2600002
trt=12|ses=0001|src=4-219|rup=025-01,6.4500000,2021808761.9400001
trt=12|ses=0001|src=4-939|rup=024-01,6.3500000,1823766478.5200000
trt=12|ses=0001|src=4-719|rup=006-01,4.5500000,1640771279.7600000
trt=12|ses=0001|src=4-677|rup=006-01,4.5500000,1639442509.9900000
trt=12|ses=0001|src=4-664|rup=010-01,4.9500000,1612811320.6300001
trt=12|ses=0001|src=4-556|rup=021-01,6.0500000,1518467171.0699999
trt=12|ses=0001|src=4-622|rup=006-02,4.5500000,1348410617.0899999
trt=12|ses=0001|src=4-622|rup=006-01,4.5500000,1298994593.0500000
trt=12|ses=0001|src=4-618|rup=008-01,4.7500000,1287439605.2600000
trt=12|ses=0001|src=4-589|rup=015-01,5.4500000,1186437756.6099999
trt=12|ses=0001|src=4-657|rup=005-01,4.4500000,1174560316.8900001
trt=12|ses=0001|src=4-698|rup=004-01,4.3500000,1144295015.6400001
trt=12|ses=0001|src=4-723|rup=008-01,4.7500000,950045953.2880000
trt=11|ses=0001|src=1-150|rup=028-01,6.7500000,933369531.4200000
trt=12|ses=0001|src=4-689|rup=014-01,5.3500000,922897054.2740000
trt=12|ses=0001|src=4-580|rup=007-01,4.6500000,863539013.0800000
trt=12|ses=0001|src=4-722|rup=005-01,4.4500000,794270540.4140000
trt=12|ses=0001|src=4-725|rup=010-01,4.9500000,750167933.0850000
trt=12|ses=0001|src=4-843|rup=013-01,5.2500000,708370755.0200000
trt=12|ses=0001|src=4-699|rup=002-01,4.1500000,569436523.7810000
trt=11|ses=0001|src=1-906|rup=026-01,6.5500000,542772454.7550000
trt=12|ses=0001|src=4-681|rup=002-01,4.1500000,531820460.6330000
trt=12|ses=0001|src=4-600|rup=004-01,4.3500000,520496347.8820000
trt=12|ses=0001|src=4-550|rup=012-01,5.1500000,519001828.4600000
trt=11|ses=0001|src=0-689|rup=027-01,6.6500000,516149403.9240000
trt=12|ses=0001|src=4-678|rup=002-01,4.1500000,466089005.8400000
trt=12|ses=0001|src=4-529|rup=012-01,5.1500000,461924475.7630000
trt=12|ses=0001|src=4-682|rup=002-01,4.1500000,451939642.6710000
trt=12|ses=0001|src=4-578|rup=006-01,4.5500000,447900206.0340000
trt=12|ses=0001|src=4-701|rup=001-01,4.0500000,397617715.2400000
trt=12|ses=0001|src=4-566|rup=007-01,4.6500000,375848222.8300000
trt=11|ses=0001|src=0-219|rup=023-01,6.2500000,367770480.0940000
trt=12|ses=0001|src=4-738|rup=002-01,4.1500000,365050713.9230000
trt=12|ses=0001|src=4-696|rup=002-01,4.1500000,356635616.4700000
trt=12|ses=0001|src=4-772|rup=004-01,4.3500000,354481520.7530000
trt=12|ses=0001|src=4-742|rup=006-01,4.5500000,352727177.9410000
trt=12|ses=0001|src=4-762|rup=008-01,4.7500000,349746071.8080000
trt=11|ses=0001|src=1-1547|rup=026-01,6.5500000,330958760.0220000
trt=12|ses=0001|src=4-666|rup=007-01,4.6500000,317695862.0610000
trt=12|ses=0001|src=4-716|rup=001-01,4.0500000,312662118.3330000
trt=12|ses=0001|src=5-5322|rup=018-01,5.7500000,307247004.3170000
trt=12|ses=0001|src=4-684|rup=003-01,4.2500000,278355630.4130000
trt=12|ses=0001|src=4-753|rup=006-01,4.5500000,276714580.2930000
trt=12|ses=0001|src=4-815|rup=011-01,5.0500000,271995895.5920000
trt=12|ses=0001|src=4-696|rup=002-02,4.1500000,244046704.6250000
trt=12|ses=0001|src=4-736|rup=002-01,4.1500000,241956544.6190000
trt=12|ses=0001|src=4-776|rup=004-01,4.3500000,203835699.7010000
trt=12|ses=0001|src=4-715|rup=001-01,4.0500000,199444118.0170000
trt=12|ses=0001|src=4-667|rup=008-01,4.7500000,197796457.0720000
trt=12|ses=0001|src=4-559|rup=005-01,4.4500000,195398414.7660000
trt=12|ses=0001|src=4-563|rup=004-01,4.3500000,188678608.8110000
trt=12|ses=0001|src=4-810|rup=005-01,4.4500000,182534509.5620000
trt=12|ses=0001|src=4-568|rup=004-01,4.3500000,176174173.5030000
trt=12|ses=0001|src=4-775|rup=003-01,4.2500000,175485968.0750000
trt=12|ses=0001|src=4-455|rup=013-01,5.2500000,155667994.1440000
trt=12|ses=0001|src=4-506|rup=007-01,4.6500000,151662341.9410000
trt=11|ses=0001|src=1-326|rup=020-01,5.9500000,147604229.2550000
trt=12|ses=0001|src=4-776|rup=001-01,4.0500000,146866933.8290000
trt=12|ses=0001|src=5-6909|rup=012-01,5.1500000,145155923.5730000
trt=11|ses=0001|src=2-154|rup=023-01,6.2500000,139253645.3810000
trt=11|ses=0001|src=1-41|rup=020-01,5.9500000,137680323.5600000
trt=12|ses=0001|src=4-874|rup=013-01,5.2500000,137585742.8470000
trt=12|ses=0001|src=4-811|rup=003-01,4.2500000,134223936.8720000
trt=12|ses=0001|src=4-795|rup=004-01,4.3500000,131875759.7400000
trt=12|ses=0001|src=4-564|rup=003-01,4.2500000,131691712.4280000
trt=12|ses=0001|src=4-397|rup=015-01,5.4500000,130713986.4540000
trt=12|ses=0001|src=4-617|rup=002-01,4.1500000,129831476.6940000
trt=12|ses=0001|src=4-449|rup=015-01,5.4500000,127682349.1180000
trt=12|ses=0001|src=5-7084|rup=017-01,5.6500000,127349840.9670000
trt=12|ses=0001|src=4-752|rup=005-01,4.4500000,125445700.7670000
trt=12|ses=0001|src=4-745|rup=006-01,4.5500000,108474712.8490000
trt=12|ses=0001|src=4-566|rup=001-01,4.0500000,104531610.8580000
trt=12|ses=0001|src=5-7799|rup=016-01,5.5500000,95760544.4759000
trt=12|ses=0001|src=4-779|rup=001-01,4.0500000,92527275.7892000
trt=12|ses=0001|src=5-7578|rup=016-01,5.5500000,89897498.5897000
trt=12|ses=0001|src=4-748|rup=009-01,4.8500000,89210201.8461000
trt=12|ses=0001|src=4-670|rup=006-01,4.5500000,86654125.9761000
trt=12|ses=0001|src=4-567|rup=002-01,4.1500000,85468507.4924000
trt=11|ses=0001|src=1-163|rup=018-01,5.7500000,85253353.3299000
trt=12|ses=0001|src=5-1544|rup=017-01,5.6500000,81785139.2307000
trt=11|ses=0001|src=0-851|rup=020-01,5.9500000,80960469.6149000
trt=12|ses=0001|src=4-727|rup=005-01,4.4500000,77355783.0381000
trt=11|ses=0001|src=1-632|rup=019-01,5.8500000,73554101.5482000
trt=11|ses=0001|src=1-105|rup=019-01,5.8500000,72142034.5412000
trt=12|ses=0001|src=4-672|rup=004-01,4.3500000,71617951.5291000
trt=12|ses=0001|src=4-527|rup=006-01,4.5500000,69049176.5116000
trt=12|ses=0001|src=4-490|rup=008-01,4.7500000,67413187.0157000
trt=12|ses=0001|src=4-534|rup=011-01,5.0500000,64287616.0190000
trt=11|ses=0001|src=0-103|rup=017-01,5.6500000,63642162.2949000
trt=11|ses=0001|src=1-156|rup=016-01,5.5500000,62065141.5802000
trt=12|ses=0001|src=4-550|rup=002-01,4.1500000,60507178.4265000
trt=12|ses=0001|src=4-807|rup=001-01,4.0500000,58981975.8293000
trt=12|ses=0001|src=4-744|rup=001-01,4.0500000,57721085.8853000
trt=12|ses=0001|src=4-785|rup=009-01,4.8500000,55854073.6517000
trt=11|ses=0001|src=0-456|rup=020-01,5.9500000,53548439.5435000
trt=12|ses=0001|src=4-665|rup=001-01,4.0500000,53205274.2191000
trt=11|ses=0001|src=1-625|rup=017-01,5.6500000,52072893.2865000
trt=12|ses=0001|src=4-494|rup=009-01,4.8500000,51307482.5879000
trt=12|ses=0001|src=4-808|rup=004-01,4.3500000,50110784.4827000
trt=12|ses=0001|src=4-763|rup=004-01,4.3500000,48485089.4910000
trt=12|ses=0001|src=4-145|rup=014-01,5.3500000,48095776.8329000
trt=12|ses=0001|src=4-889|rup=012-01,5.1500000,47683606.0933000
trt=12|ses=0001|src=4-814|rup=005-01,4.4500000,47656523.5123000
trt=12|ses=0001|src=4-453|rup=010-01,4.9500000,47590960.2625000
trt=11|ses=0001|src=1-307|rup=018-01,5.7500000,45459555.0207000
trt=12|ses=0001|src=4-564|rup=001-01,4.0500000,45317685.6576000
trt=12|ses=0001|src=4-788|rup=005-01,4.4500000,44572456.7330000
trt=12|ses=0001|src=4-488|rup=007-01,4.6500000,43889871.0964000
trt=12|ses=0001|src=4-835|rup=009-01,4.8500000,43052017.1844000
trt=12|ses=0001|src=4-645|rup=001-01,4.0500000,42257460.1572000
trt=12|ses=0001|src=4-537|rup=011-01,5.0500000,41825063.4985000
trt=11|ses=0001|src=3-176|rup=020-01,5.9500000,40375195.5484000
trt=11|ses=0001|src=1-382|rup=016-01,5.5500000,38740648.6029000
trt=12|ses=0001|src=4-527|rup=004-01,4.3500000,38368450.2061000
trt=12|ses=0001|src=4-508|rup=005-01,4.4500000,36036029.8944000
trt=11|ses=0001|src=0-729|rup=019-01,5.8500000,36012178.0833000
trt=12|ses=0001|src=4-154|rup=013-01,5.2500000,35671337.8866000
trt=12|ses=0001|src=4-542|rup=001-01,4.0500000,35101228.2038000
trt=12|ses=0001|src=4-749|rup=006-01,4.5500000,34512931.8887000
trt=12|ses=0001|src=4-708|rup=002-01,4.1500000,33265987.4169000
trt=12|ses=0001|src=4-795|rup=002-01,4.1500000,33170780.1606000
trt=11|ses=0001|src=0-157|rup=019-01,5.8500000,31224814.0302000
trt=12|ses=0001|src=5-7391|rup=015-01,5.4500000,31035928.7951000
trt=12|ses=0001|src=4-593|rup=009-01,4.8500000,30574030.8518000
trt=12|ses=0001|src=4-503|rup=010-01,4.9500000,30203862.3019000
trt=12|ses=0001|src=5-7127|rup=012-01,5.1500000,30098810.5145000
trt=12|ses=0001|src=4-928|rup=012-01,5.1500000,29609595.1811000
trt=12|ses=0001|src=4-753|rup=001-01,4.0500000,29547385.4809000
trt=11|ses=0001|src=0-842|rup=018-01,5.7500000,29372638.3248000
trt=12|ses=0001|src=4-530|rup=004-01,4.3500000,28565783.6440000
trt=11|ses=0001|src=1-1765|rup=019-01,5.8500000,28301622.9754000
trt=11|ses=0001|src=0-781|rup=018-01,5.7500000,28083295.1614000
trt=12|ses=0001|src=4-830|rup=005-01,4.4500000,27996552.9862000
trt=12|ses=0001|src=4-709|rup=002-01,4.1500000,27228897.4060000
trt=11|ses=0001|src=0-95|rup=016-01,5.5500000,25748518.3713000
trt=12|ses=0001|src=5-2955|rup=015-01,5.4500000,25029320.3137000
trt=12|ses=0001|src=4-387|rup=012-01,5.1500000,24831669.9510000
trt=12|ses=0001|src=4-812|rup=003-01,4.2500000,23428762.4662000
trt=12|ses=0001|src=4-526|rup=003-01,4.2500000,23150134.3681000
trt=11|ses=0001|src=2-428|rup=018-01,5.7500000,23016967.3582000
trt=11|ses=0001|src=1-164|rup=015-01,5.4500000,22981836.7088000
trt=12|ses=0001|src=4-365|rup=012-01,5.1500000,22698518.1040000
trt=11|ses=0001|src=0-373|rup=016-01,5.5500000,22451683.8540000
trt=11|ses=0001|src=0-1051|rup=018-01,5.7500000,22432413.5615000
trt=11|ses=0001|src=0-772|rup=017-01,5.6500000,22412600.6722000
trt=11|ses=0001|src=1-120|rup=015-01,5.4500000,22066883.8717000
trt=12|ses=0001|src=4-784|rup=006-01,4.5500000,21461892.7058000
trt=11|ses=0001|src=0-754|rup=017-01,5.6500000,21110623.9722000
trt=11|ses=0001|src=3-352|rup=017-01,5.6500000,20373500.0207000
trt=12|ses=0001|src=4-729|rup=003-01,4.2500000,19990577.3962000
trt=12|ses=0001|src=4-781|rup=002-01,4.1500000,19656433.8343000
trt=11|ses=0001|src=0-284|rup=015-01,5.4500000,19245990.4875000
trt=12|ses=0001|src=4-811|rup=002-01,4.1500000,18927899.5888000
trt=11|ses=0001|src=0-718|rup=015-01,5.4500000,18458075.5968000
trt=12|ses=0001|src=4-445|rup=010-01,4.9500000,18388152.6230000
trt=12|ses=0001|src=4-745|rup=004-01,4.3500000,18190488.7413000
trt=12|ses=0001|src=7-1662|rup=016-01,5.5500000,17610760.7814000
trt=12|ses=0001|src=4-787|rup=002-01,4.1500000,17157688.2774000
trt=12|ses=0001|src=5-7367|rup=011-01,5.0500000,16977934.6461000
trt=11|ses=0001|src=0-345|rup=015-01,5.4500000,16284137.7561000
trt=11|ses=0001|src=0-181|rup=013-01,5.2500000,16159301.3811000
trt=11|ses=0001|src=0-503|rup=017-01,5.6500000,16067230.5047000
trt=12|ses=0001|src=4-547|rup=001-01,4.0500000,15059993.5742000
trt=12|ses=0001|src=4-633|rup=007-01,4.6500000,14692469.1128000
trt=11|ses=0001|src=1-356|rup=016-01,5.5500000,14442720.8942000
trt=11|ses=0001|src=1-1101|rup=017-01,5.6500000,14339591.6785000
trt=12|ses=0001|src=4-99|rup=013-01,5.2500000,14098897.8971000
trt=12|ses=0001|src=4-162|rup=012-01,5.1500000,13783781.9853000
trt=11|ses=0001|src=1-821|rup=016-01,5.5500000,13579456.5362000
trt=11|ses=0001|src=0-200|rup=012-01,5.1500000,13449499.5478000
trt=11|ses=0001|src=0-822|rup=017-01,5.6500000,13384066.0781000
trt=12|ses=0001|src=4-842|rup=003-01,4.2500000,13298520.4532000
trt=12|ses=0001|src=4-859|rup=006-01,4.5500000,13164288.8491000
trt=12|ses=0001|src=4-850|rup=008-01,4.7500000,13058675.4677000
trt=11|ses=0001|src=0-990|rup=016-01,5.5500000,13041639.7680000
trt=12|ses=0001|src=7-1614|rup=016-01,5.5500000,12938534.8051000
trt=11|ses=0001|src=3-567|rup=018-01,5.7500000,12934937.0442000
trt=12|ses=0001|src=4-273|rup=011-01,5.0500000,12905107.2457000
trt=12|ses=0001|src=4-329|rup=009-01,4.8500000,12472782.2306000
trt=12|ses=0001|src=4-256|rup=011-01,5.0500000,12091541.4317000
trt=12|ses=0001|src=4-288|rup=010-01,4.9500000,12055606.2148000
trt=11|ses=0001|src=0-153|rup=013-01,5.2500000,11830984.7596000
trt=12|ses=0001|src=4-312|rup=011-01,5.0500000,11579916.0608000
trt=11|ses=0001|src=1-801|rup=015-01,5.4500000,11149018.8860000
trt=12|ses=0001|src=5-7051|rup=011-01,5.0500000,11015983.5788000
trt=12|ses=0001|src=4-532|rup=005-01,4.4500000,10755012.9181000
trt=11|ses=0001|src=1-1553|rup=018-01,5.7500000,10623303.8486000
trt=12|ses=0001|src=5-6450|rup=015-01,5.4500000,10530147.5715000
trt=12|ses=0001|src=4-106|rup=013-01,5.2500000,10421067.7977000
trt=12|ses=0001|src=4-910|rup=010-01,4.9500000,10159699.8673000
trt=11|ses=0001|src=1-452|rup=015-01,5.4500000,9852594.3450400
trt=11|ses=0001|src=1-1173|rup=016-01,5.5500000,9832324.4099600
trt=11|ses=0001|src=0-749|rup=016-01,5.5500000,9813920.1036100
trt=12|ses=0001|src=5-6375|rup=014-01,5.3500000,9725230.2040800
trt=12|ses=0001|src=5-4678|rup=015-01,5.4500000,9715745.5420200
trt=12|ses=0001|src=4-510|rup=002-01,4.1500000,9414965.5456100
trt=12|ses=0001|src=4-924|rup=010-01,4.9500000,9339915.4175700
trt=12|ses=0001|src=5-7882|rup=011-01,5.0500000,8479802.4157800
trt=12|ses=0001|src=4-530|rup=001-01,4.0500000,8371690.3971700
trt=12|ses=0001|src=4-840|rup=001-01,4.0500000,8051409.0548600
trt=11|ses=0001|src=0-39|rup=013-01,5.2500000,7987164.4230600
trt=11|ses=0001|src=0-1138|rup=015-01,5.4500000,7926782.9492400
trt=11|ses=0001|src=0-375|rup=014-01,5.3500000,7503407.9680600
trt=12|ses=0001|src=4-860|rup=003-01,4.2500000,7327718.5374900
