Rupture,Magnitude,Aggregate Loss
trt=02|ses=0001|src=4-935|rup=033-01,7.2500000,33875580901.0000000
trt=02|ses=0001|src=4-533|rup=025-01,6.4500000,11072654345.3999996
trt=02|ses=0001|src=4-662|rup=012-01,5.1500000,8701818532.0699997
trt=02|ses=0001|src=4-580|rup=013-01,5.2500000,5280156207.6199999
trt=02|ses=0001|src=4-601|rup=012-01,5.1500000,5248802244.1099997
trt=02|ses=0001|src=4-722|rup=011-01,5.0500000,4163743504.1399999
trt=02|ses=0001|src=4-626|rup=011-01,5.0500000,3960860650.3600001
trt=02|ses=0001|src=4-797|rup=016-01,5.5500000,3903640423.9899998
trt=02|ses=0001|src=4-643|rup=009-01,4.8500000,3548683701.4299998
trt=02|ses=0001|src=4-601|rup=009-01,4.8500000,3262548335.1599998
trt=02|ses=0001|src=4-718|rup=007-02,4.6500000,2922124532.3499999
trt=02|ses=0001|src=4-718|rup=007-01,4.6500000,2776037510.4600000
trt=02|ses=0001|src=4-742|rup=014-01,5.3500000,2753842960.4600000
trt=02|ses=0001|src=4-781|rup=016-01,5.5500000,2624971181.6199999
trt=01|ses=0001|src=1-982|rup=033-01,7.2500000,2044579383.4500000
trt=01|ses=0001|src=1-46|rup=030-01,6.9500000,1643246315.5999999
trt=02|ses=0001|src=4-698|rup=002-01,4.1500000,1413974412.4700000
trt=02|ses=0001|src=4-513|rup=015-01,5.4500000,1372920699.4500000
trt=02|ses=0001|src=4-653|rup=017-01,5.6500000,1307282221.8000000
trt=02|ses=0001|src=4-674|rup=006-01,4.5500000,1298672617.3499999
trt=02|ses=0001|src=4-683|rup=007-01,4.6500000,1189900604.1099999
trt=01|ses=0001|src=0-78|rup=029-01,6.8500000,1079470697.0799999
trt=02|ses=0001|src=4-694|rup=006-01,4.5500000,1057132429.7400000
trt=02|ses=0001|src=4-740|rup=007-01,4.6500000,1033695055.4400001
trt=02|ses=0001|src=4-874|rup=016-01,5.5500000,989031270.2890000
trt=02|ses=0001|src=4-780|rup=011-01,5.0500000,929882404.8480000
trt=02|ses=0001|src=4-659|rup=002-01,4.1500000,904804908.0060000
trt=02|ses=0001|src=4-584|rup=006-01,4.5500000,831128780.6270000
trt=01|ses=0001|src=1-739|rup=028-01,6.7500000,827013193.1430000
trt=02|ses=0001|src=4-635|rup=007-01,4.6500000,812484393.0760000
trt=02|ses=0001|src=4-403|rup=016-01,5.5500000,769300039.8290000
trt=02|ses=0001|src=4-548|rup=009-01,4.8500000,735290807.9600000
trt=01|ses=0001|src=1-1427|rup=029-01,6.8500000,726406186.1130000
trt=02|ses=0001|src=4-844|rup=012-01,5.1500000,710980247.2670000
trt=02|ses=0001|src=4-635|rup=008-01,4.7500000,692377514.3140000
trt=02|ses=0001|src=4-562|rup=005-01,4.4500000,626370357.9970000
trt=02|ses=0001|src=4-866|rup=013-01,5.2500000,624149123.5920000
trt=02|ses=0001|src=4-581|rup=004-01,4.3500000,611960276.1730000
trt=02|ses=0001|src=4-717|rup=001-01,4.0500000,580650275.4570000
trt=02|ses=0001|src=4-654|rup=005-01,4.4500000,526677655.0450000
trt=02|ses=0001|src=4-738|rup=002-01,4.1500000,518152712.3390000
trt=02|ses=0001|src=4-496|rup=013-01,5.2500000,498983773.1140000
trt=02|ses=0001|src=4-704|rup=002-01,4.1500000,496274248.8060000
trt=02|ses=0001|src=4-601|rup=001-01,4.0500000,488034051.4800000
trt=02|ses=0001|src=4-547|rup=007-01,4.6500000,481723830.8570000
trt=02|ses=0001|src=4-658|rup=001-01,4.0500000,481349527.4540000
trt=02|ses=0001|src=4-516|rup=014-01,5.3500000,478174241.6260000
trt=02|ses=0001|src=4-586|rup=005-01,4.4500000,461749185.7630000
trt=02|ses=0001|src=4-683|rup=001-01,4.0500000,455126964.2560000
trt=02|ses=0001|src=4-720|rup=002-01,4.1500000,419387938.7410000
trt=02|ses=0001|src=4-878|rup=015-01,5.4500000,413533327.8110000
trt=02|ses=0001|src=4-674|rup=002-01,4.1500000,403298377.5810000
trt=02|ses=0001|src=4-757|rup=001-01,4.0500000,399017113.7950000
trt=02|ses=0001|src=4-724|rup=007-01,4.6500000,353650128.3320000
trt=02|ses=0001|src=4-735|rup=002-01,4.1500000,339454540.8950000
trt=02|ses=0001|src=4-736|rup=003-01,4.2500000,331729202.2500000
trt=02|ses=0001|src=4-592|rup=010-01,4.9500000,314780375.6900000
trt=02|ses=0001|src=4-670|rup=008-01,4.7500000,287362174.9220000
trt=01|ses=0001|src=1-282|rup=022-01,6.1500000,287347913.4860000
trt=01|ses=0001|src=0-666|rup=022-01,6.1500000,286157695.7110000
trt=01|ses=0001|src=1-570|rup=026-01,6.5500000,283527612.4680000
trt=01|ses=0001|src=0-1138|rup=026-01,6.5500000,267769879.3780000
trt=02|ses=0001|src=4-865|rup=013-01,5.2500000,248918306.1820000
trt=02|ses=0001|src=4-508|rup=006-01,4.5500000,247722706.5270000
trt=02|ses=0001|src=4-745|rup=007-01,4.6500000,245362519.6770000
trt=02|ses=0001|src=4-665|rup=003-01,4.2500000,242053189.4140000
trt=02|ses=0001|src=5-5834|rup=019-01,5.8500000,234663697.3820000
trt=02|ses=0001|src=4-604|rup=002-01,4.1500000,233522604.6710000
trt=02|ses=0001|src=5-6768|rup=008-01,4.7500000,232212647.1900000
trt=02|ses=0001|src=4-738|rup=001-01,4.0500000,232049396.3280000
trt=02|ses=0001|src=4-808|rup=004-01,4.3500000,215690680.4270000
trt=02|ses=0001|src=5-7019|rup=017-01,5.6500000,195376024.9000000
trt=02|ses=0001|src=5-6744|rup=011-01,5.0500000,184214383.6390000
trt=02|ses=0001|src=4-813|rup=005-01,4.4500000,181608635.3670000
trt=02|ses=0001|src=4-706|rup=004-01,4.3500000,176710377.2410000
trt=02|ses=0001|src=4-568|rup=002-01,4.1500000,175783256.0090000
trt=02|ses=0001|src=4-616|rup=004-01,4.3500000,167241508.3270000
trt=02|ses=0001|src=4-474|rup=008-01,4.7500000,162024307.4140000
trt=02|ses=0001|src=4-771|rup=002-01,4.1500000,159455545.7550000
trt=02|ses=0001|src=4-631|rup=008-01,4.7500000,156319474.5880000
trt=02|ses=0001|src=5-6779|rup=012-01,5.1500000,154732253.2290000
trt=01|ses=0001|src=1-726|rup=023-01,6.2500000,154061206.7370000
trt=02|ses=0001|src=4-752|rup=001-01,4.0500000,146431195.6220000
trt=02|ses=0001|src=4-458|rup=011-01,5.0500000,143391660.7800000
trt=02|ses=0001|src=5-6221|rup=018-01,5.7500000,137595695.1780000
trt=01|ses=0001|src=3-491|rup=021-01,6.0500000,133214800.4760000
trt=02|ses=0001|src=4-867|rup=011-01,5.0500000,132566356.9230000
trt=02|ses=0001|src=5-6652|rup=016-01,5.5500000,126877277.0590000
trt=02|ses=0001|src=4-725|rup=001-01,4.0500000,125799162.6000000
trt=02|ses=0001|src=4-812|rup=006-01,4.5500000,116117116.9220000
trt=02|ses=0001|src=4-778|rup=003-01,4.2500000,114777556.3820000
trt=02|ses=0001|src=5-6721|rup=011-01,5.0500000,111298978.7880000
trt=02|ses=0001|src=4-768|rup=007-01,4.6500000,107893634.7930000
trt=02|ses=0001|src=4-777|rup=003-01,4.2500000,105370694.9750000
trt=02|ses=0001|src=7-1213|rup=021-01,6.0500000,101184229.5640000
