Rupture,Magnitude,Aggregate Loss
trt=08|ses=0001|src=6-108|rup=003-01,4.2500000,135982914.4480000
trt=08|ses=0001|src=5-124|rup=003-01,4.2500000,134916651.4240000
trt=07|ses=0001|src=1-343|rup=022-01,6.1500000,132642200.3870000
trt=08|ses=0001|src=3-308|rup=021-01,6.0500000,118183836.0530000
trt=08|ses=0001|src=6-63|rup=003-01,4.2500000,118151853.7940000
trt=07|ses=0001|src=1-144|rup=020-01,5.9500000,118139914.6020000
trt=07|ses=0001|src=0-1448|rup=018-01,5.7500000,117042992.4800000
trt=08|ses=0001|src=5-79|rup=011-01,5.0500000,114668344.3010000
trt=07|ses=0001|src=0-1107|rup=020-01,5.9500000,106365164.5020000
trt=08|ses=0001|src=6-86|rup=002-01,4.1500000,106279531.2680000
trt=08|ses=0001|src=6-328|rup=016-01,5.5500000,104040488.9240000
trt=07|ses=0001|src=0-262|rup=021-01,6.0500000,100596891.6330000
trt=07|ses=0001|src=2-460|rup=023-01,6.2500000,100093332.5910000
trt=08|ses=0001|src=5-102|rup=001-01,4.0500000,99789084.2984000
trt=07|ses=0001|src=0-449|rup=022-01,6.1500000,98557730.5237000
trt=08|ses=0001|src=6-327|rup=016-01,5.5500000,95833832.5862000
trt=08|ses=0001|src=8-158|rup=014-01,5.3500000,93230646.1480000
trt=07|ses=0001|src=1-167|rup=020-01,5.9500000,91390720.1302000
trt=07|ses=0001|src=0-1017|rup=021-01,6.0500000,88591842.6993000
trt=08|ses=0001|src=4-347|rup=007-01,4.6500000,87776789.3037000
trt=08|ses=0001|src=5-48|rup=010-01,4.9500000,87723968.8539000
trt=08|ses=0001|src=6-109|rup=001-01,4.0500000,87716436.2416000
trt=08|ses=0001|src=4-318|rup=010-01,4.9500000,82564292.1709000
trt=08|ses=0001|src=3-320|rup=017-01,5.6500000,81833797.9496000
trt=07|ses=0001|src=0-1454|rup=023-01,6.2500000,81570232.0868000
trt=07|ses=0001|src=0-1200|rup=022-01,6.1500000,81044943.5063000
trt=07|ses=0001|src=2-593|rup=021-01,6.0500000,78540081.0431000
trt=07|ses=0001|src=0-142|rup=020-01,5.9500000,75617813.2443000
trt=08|ses=0001|src=5-305|rup=014-01,5.3500000,73362662.2326000
trt=08|ses=0001|src=5-93|rup=001-01,4.0500000,72713267.3850000
trt=08|ses=0001|src=6-64|rup=003-01,4.2500000,72558008.6027000
trt=08|ses=0001|src=6-44|rup=006-01,4.5500000,65349648.2410000
trt=08|ses=0001|src=5-49|rup=010-01,4.9500000,64683121.2756000
trt=07|ses=0001|src=0-1305|rup=017-01,5.6500000,64434109.8208000
trt=07|ses=0001|src=0-1658|rup=020-01,5.9500000,61345849.6714000
trt=08|ses=0001|src=6-112|rup=008-01,4.7500000,60370492.2219000
trt=08|ses=0001|src=3-183|rup=018-01,5.7500000,59778457.8042000
trt=08|ses=0001|src=4-360|rup=003-01,4.2500000,59334035.9269000
trt=07|ses=0001|src=0-1632|rup=021-01,6.0500000,59287237.3983000
trt=07|ses=0001|src=0-1220|rup=020-01,5.9500000,58372238.3386000
trt=07|ses=0001|src=0-479|rup=016-01,5.5500000,58250948.7178000
trt=07|ses=0001|src=1-270|rup=020-01,5.9500000,57541118.1917000
trt=07|ses=0001|src=1-237|rup=019-01,5.8500000,56335690.7553000
trt=08|ses=0001|src=6-503|rup=015-01,5.4500000,55907621.8117000
trt=08|ses=0001|src=5-63|rup=004-01,4.3500000,54437451.7975000
trt=07|ses=0001|src=1-343|rup=017-01,5.6500000,54425112.5479000
trt=08|ses=0001|src=6-511|rup=015-01,5.4500000,54147809.7362000
trt=07|ses=0001|src=0-1478|rup=019-01,5.8500000,53644940.5667000
trt=08|ses=0001|src=6-158|rup=005-01,4.4500000,53209507.4507000
trt=08|ses=0001|src=3-241|rup=014-01,5.3500000,53037908.5232000
trt=08|ses=0001|src=5-192|rup=001-01,4.0500000,52099461.3348000
trt=07|ses=0001|src=1-619|rup=020-01,5.9500000,51622494.9604000
trt=07|ses=0001|src=1-398|rup=018-01,5.7500000,51617056.9164000
trt=08|ses=0001|src=3-405|rup=017-01,5.6500000,48833340.5287000
trt=08|ses=0001|src=4-481|rup=009-01,4.8500000,48314239.9958000
trt=08|ses=0001|src=4-355|rup=008-01,4.7500000,48301909.9837000
trt=07|ses=0001|src=1-640|rup=019-01,5.8500000,48104540.1636000
trt=08|ses=0001|src=6-245|rup=014-01,5.3500000,47002553.0668000
trt=08|ses=0001|src=5-166|rup=005-01,4.4500000,46373651.2879000
trt=07|ses=0001|src=0-150|rup=018-01,5.7500000,45156607.1062000
trt=08|ses=0001|src=8-89|rup=014-01,5.3500000,43461385.1120000
trt=07|ses=0001|src=1-201|rup=019-01,5.8500000,41977340.6416000
trt=08|ses=0001|src=6-465|rup=013-01,5.2500000,40926430.2249000
trt=08|ses=0001|src=5-245|rup=011-01,5.0500000,40369720.9925000
trt=07|ses=0001|src=0-1413|rup=018-01,5.7500000,39637471.4322000
trt=08|ses=0001|src=6-120|rup=001-01,4.0500000,37995487.2355000
trt=07|ses=0001|src=0-806|rup=018-01,5.7500000,37589019.9201000
trt=07|ses=0001|src=0-1253|rup=019-01,5.8500000,35306874.5872000
trt=08|ses=0001|src=6-296|rup=013-01,5.2500000,34872143.5131000
trt=08|ses=0001|src=4-356|rup=006-01,4.5500000,34417644.3308000
trt=08|ses=0001|src=6-148|rup=005-01,4.4500000,33927852.9949000
trt=07|ses=0001|src=0-6|rup=016-01,5.5500000,33772247.9200000
trt=08|ses=0001|src=5-200|rup=005-01,4.4500000,33659514.5133000
trt=08|ses=0001|src=5-167|rup=003-01,4.2500000,33098060.4469000
trt=08|ses=0001|src=5-105|rup=003-01,4.2500000,32743967.5524000
trt=07|ses=0001|src=2-1037|rup=019-01,5.8500000,31902813.6788000
trt=08|ses=0001|src=5-56|rup=004-01,4.3500000,31823759.8254000
trt=08|ses=0001|src=7-69|rup=013-01,5.2500000,31270843.4706000
trt=07|ses=0001|src=1-295|rup=018-01,5.7500000,31206939.1824000
trt=07|ses=0001|src=0-1|rup=017-01,5.6500000,30817107.8743000
trt=07|ses=0001|src=1-582|rup=016-01,5.5500000,30543119.9456000
trt=08|ses=0001|src=5-33|rup=010-01,4.9500000,30297613.3539000
trt=07|ses=0001|src=1-610|rup=018-01,5.7500000,30248954.3415000
trt=08|ses=0001|src=4-358|rup=003-01,4.2500000,28595767.6247000
trt=07|ses=0001|src=0-266|rup=016-01,5.5500000,28199411.4105000
trt=07|ses=0001|src=0-1328|rup=018-01,5.7500000,28013658.1098000
trt=07|ses=0001|src=0-281|rup=015-01,5.4500000,27041155.9467000
trt=08|ses=0001|src=10-507|rup=016-01,5.5500000,25552867.8461000
trt=08|ses=0001|src=4-306|rup=008-01,4.7500000,25550469.2774000
trt=08|ses=0001|src=7-236|rup=013-01,5.2500000,25449611.5383000
trt=08|ses=0001|src=5-208|rup=008-01,4.7500000,25161752.5051000
trt=08|ses=0001|src=4-458|rup=009-01,4.8500000,24845892.7423000
trt=07|ses=0001|src=2-1105|rup=021-01,6.0500000,24186450.8944000
trt=08|ses=0001|src=5-262|rup=012-01,5.1500000,23474881.8679000
trt=07|ses=0001|src=0-1573|rup=013-01,5.2500000,23377952.2003000
trt=07|ses=0001|src=2-1153|rup=018-01,5.7500000,22539455.0054000
trt=07|ses=0001|src=1-193|rup=018-01,5.7500000,22525555.7911000
trt=08|ses=0001|src=7-91|rup=012-01,5.1500000,22438495.4237000
trt=07|ses=0001|src=0-998|rup=015-01,5.4500000,22348037.0626000
trt=08|ses=0001|src=6-126|rup=007-01,4.6500000,21735160.1567000
trt=08|ses=0001|src=8-71|rup=012-01,5.1500000,21230779.5162000
trt=07|ses=0001|src=2-356|rup=018-01,5.7500000,21221808.5636000
trt=07|ses=0001|src=0-169|rup=015-01,5.4500000,20997715.9030000
trt=07|ses=0001|src=2-840|rup=017-01,5.6500000,20914535.5023000
trt=08|ses=0001|src=6-18|rup=008-01,4.7500000,20892225.2649000
trt=08|ses=0001|src=5-188|rup=005-01,4.4500000,20849537.7977000
trt=08|ses=0001|src=4-400|rup=009-01,4.8500000,20848835.4205000
trt=08|ses=0001|src=4-380|rup=005-01,4.4500000,20575446.4265000
trt=07|ses=0001|src=2-706|rup=016-01,5.5500000,19741736.9567000
trt=07|ses=0001|src=2-1694|rup=019-01,5.8500000,19296916.1681000
trt=08|ses=0001|src=5-47|rup=006-01,4.5500000,19221895.1968000
trt=08|ses=0001|src=5-245|rup=008-01,4.7500000,18950205.0855000
trt=07|ses=0001|src=0-431|rup=013-01,5.2500000,18927975.6187000
trt=07|ses=0001|src=2-1152|rup=017-01,5.6500000,18670637.4151000
trt=08|ses=0001|src=5-203|rup=001-01,4.0500000,18392077.1373000
trt=08|ses=0001|src=3-152|rup=013-01,5.2500000,18341396.1128000
trt=08|ses=0001|src=5-184|rup=007-01,4.6500000,18332152.2672000
trt=07|ses=0001|src=0-43|rup=013-01,5.2500000,16658485.9849000
trt=08|ses=0001|src=6-6|rup=010-01,4.9500000,16595841.3333000
trt=07|ses=0001|src=0-1469|rup=016-01,5.5500000,16466543.9852000
trt=08|ses=0001|src=6-356|rup=010-01,4.9500000,16292959.1307000
trt=07|ses=0001|src=0-21|rup=016-01,5.5500000,16152277.0834000
trt=07|ses=0001|src=2-1601|rup=019-01,5.8500000,15773971.2654000
trt=08|ses=0001|src=6-145|rup=002-01,4.1500000,15695186.0692000
trt=07|ses=0001|src=0-329|rup=014-01,5.3500000,15527036.6957000
trt=07|ses=0001|src=0-426|rup=013-01,5.2500000,15481230.6732000
trt=07|ses=0001|src=2-758|rup=019-01,5.8500000,15184489.2566000
trt=08|ses=0001|src=4-276|rup=010-01,4.9500000,15085618.9873000
trt=07|ses=0001|src=1-648|rup=016-01,5.5500000,14892073.8487000
trt=08|ses=0001|src=5-154|rup=002-01,4.1500000,14828343.1885000
trt=08|ses=0001|src=6-541|rup=013-01,5.2500000,14718526.1993000
trt=08|ses=0001|src=8-117|rup=010-01,4.9500000,14703891.9527000
trt=08|ses=0001|src=5-248|rup=010-01,4.9500000,14626521.2893000
trt=08|ses=0001|src=7-430|rup=012-01,5.1500000,14387660.7285000
trt=08|ses=0001|src=6-268|rup=010-01,4.9500000,14343009.2411000
trt=08|ses=0001|src=3-54|rup=013-01,5.2500000,14247851.3824000
trt=08|ses=0001|src=5-67|rup=003-01,4.2500000,14158158.0568000
trt=08|ses=0001|src=6-82|rup=009-01,4.8500000,12971518.7025000
trt=08|ses=0001|src=8-93|rup=008-01,4.7500000,12935425.8980000
trt=08|ses=0001|src=5-55|rup=002-01,4.1500000,12737540.6112000
trt=08|ses=0001|src=6-284|rup=010-01,4.9500000,12466712.3825000
trt=07|ses=0001|src=0-1331|rup=019-01,5.8500000,12419898.3186000
trt=08|ses=0001|src=5-166|rup=002-01,4.1500000,12293040.5865000
trt=08|ses=0001|src=4-244|rup=010-01,4.9500000,12177904.6665000
trt=08|ses=0001|src=7-172|rup=010-01,4.9500000,12037370.0650000
trt=07|ses=0001|src=0-925|rup=014-01,5.3500000,11718512.0344000
trt=08|ses=0001|src=5-200|rup=004-01,4.3500000,11652183.4597000
trt=08|ses=0001|src=6-311|rup=011-01,5.0500000,11625875.3962000
trt=07|ses=0001|src=0-1201|rup=016-01,5.5500000,11256476.2752000
