Rupture,Magnitude,Aggregate Loss
trt=16|ses=0001|src=5-103|rup=025-01,6.4500000,28721822213.7999992
trt=16|ses=0001|src=5-160|rup=016-01,5.5500000,15352938900.2999992
trt=16|ses=0001|src=5-110|rup=012-01,5.1500000,9018007857.8500004
trt=16|ses=0001|src=5-53|rup=029-01,6.8500000,7589077125.0000000
trt=16|ses=0001|src=5-159|rup=013-01,5.2500000,6191976707.8900003
trt=16|ses=0001|src=5-140|rup=009-01,4.8500000,4760575889.8199997
trt=16|ses=0001|src=6-74|rup=018-01,5.7500000,4232842619.8800001
trt=16|ses=0001|src=5-134|rup=014-01,5.3500000,4042018121.3899999
trt=16|ses=0001|src=5-119|rup=007-01,4.6500000,3262159835.1900001
trt=16|ses=0001|src=5-94|rup=014-01,5.3500000,2128938273.0500000
trt=16|ses=0001|src=5-208|rup=020-01,5.9500000,1864564732.0500000
trt=16|ses=0001|src=5-131|rup=006-01,4.5500000,1581015775.7100000
trt=16|ses=0001|src=5-141|rup=006-01,4.5500000,1545370660.6199999
trt=16|ses=0001|src=5-151|rup=006-01,4.5500000,1521744726.0599999
trt=16|ses=0001|src=5-99|rup=006-01,4.5500000,1395506902.0300000
trt=16|ses=0001|src=5-66|rup=016-01,5.5500000,1315398825.4200001
trt=16|ses=0001|src=5-73|rup=012-01,5.1500000,1299320208.4000001
trt=16|ses=0001|src=5-150|rup=005-01,4.4500000,1132100949.2900000
trt=15|ses=0001|src=0-1827|rup=030-01,6.9500000,978354449.6560000
trt=16|ses=0001|src=3-47|rup=023-01,6.2500000,744476927.0779999
trt=16|ses=0001|src=6-108|rup=008-01,4.7500000,720450938.6660000
trt=15|ses=0001|src=0-509|rup=025-01,6.4500000,718953032.5680000
trt=16|ses=0001|src=5-139|rup=001-01,4.0500000,704304876.5460000
trt=16|ses=0001|src=6-381|rup=021-01,6.0500000,697619774.6090000
trt=15|ses=0001|src=0-580|rup=025-01,6.4500000,696922061.1490000
trt=16|ses=0001|src=5-99|rup=004-01,4.3500000,695237187.2780000
trt=16|ses=0001|src=5-120|rup=002-01,4.1500000,660082750.8740000
trt=16|ses=0001|src=5-91|rup=005-01,4.4500000,622600874.4809999
trt=16|ses=0001|src=5-117|rup=003-01,4.2500000,592946323.6150000
trt=16|ses=0001|src=5-132|rup=004-01,4.3500000,592487550.3440000
trt=16|ses=0001|src=5-148|rup=005-01,4.4500000,579899109.2800000
trt=16|ses=0001|src=5-169|rup=008-01,4.7500000,574056575.2140000
trt=16|ses=0001|src=5-162|rup=004-01,4.3500000,553109362.7130001
trt=16|ses=0001|src=5-235|rup=016-01,5.5500000,539459342.1510000
trt=16|ses=0001|src=4-410|rup=004-01,4.3500000,536913685.6350000
trt=16|ses=0001|src=6-77|rup=013-01,5.2500000,534306806.9280000
trt=16|ses=0001|src=5-132|rup=003-01,4.2500000,520704198.2970000
trt=16|ses=0001|src=5-136|rup=004-01,4.3500000,495809388.8460000
trt=16|ses=0001|src=4-398|rup=005-01,4.4500000,492995716.4140000
trt=16|ses=0001|src=5-72|rup=008-01,4.7500000,450840722.7980000
trt=16|ses=0001|src=5-29|rup=018-01,5.7500000,439405377.5950000
trt=16|ses=0001|src=5-98|rup=003-01,4.2500000,422995404.4200000
trt=16|ses=0001|src=6-308|rup=019-01,5.8500000,406189785.6530000
trt=16|ses=0001|src=5-90|rup=003-01,4.2500000,397928727.3470000
trt=16|ses=0001|src=4-373|rup=006-01,4.5500000,365633652.1520000
trt=16|ses=0001|src=5-121|rup=002-01,4.1500000,349323277.2590000
trt=16|ses=0001|src=6-163|rup=015-01,5.4500000,337741298.0880000
trt=16|ses=0001|src=5-90|rup=001-01,4.0500000,333212360.8770000
trt=16|ses=0001|src=6-132|rup=005-01,4.4500000,304205529.0990000
trt=16|ses=0001|src=5-149|rup=001-01,4.0500000,291659150.0840000
trt=16|ses=0001|src=4-409|rup=002-01,4.1500000,268268259.6950000
trt=16|ses=0001|src=6-99|rup=010-01,4.9500000,253954961.7060000
trt=16|ses=0001|src=4-385|rup=004-01,4.3500000,252066085.6090000
trt=16|ses=0001|src=4-431|rup=007-01,4.6500000,234741072.3170000
trt=16|ses=0001|src=5-170|rup=002-01,4.1500000,225893676.7570000
