Rupture,Magnitude,Aggregate Loss
trt=18|ses=0001|src=4-528|rup=024-01,6.3500000,12252802348.8999996
trt=18|ses=0001|src=4-681|rup=011-01,5.0500000,6012852181.8000002
trt=18|ses=0001|src=4-716|rup=012-01,5.1500000,5929097764.0200005
trt=17|ses=0001|src=0-276|rup=033-01,7.2500000,4963950889.5799999
trt=18|ses=0001|src=4-871|rup=022-01,6.1500000,3931116468.5700002
trt=18|ses=0001|src=4-658|rup=008-01,4.7500000,3403469367.9899998
trt=18|ses=0001|src=4-676|rup=007-01,4.6500000,1864457817.0899999
trt=18|ses=0001|src=4-721|rup=009-01,4.8500000,1833210268.6900001
trt=18|ses=0001|src=4-664|rup=010-01,4.9500000,1497136120.6800001
trt=18|ses=0001|src=4-797|rup=014-01,5.3500000,1497031326.8299999
trt=17|ses=0001|src=1-124|rup=027-01,6.6500000,1386506757.5000000
trt=18|ses=0001|src=4-810|rup=013-01,5.2500000,1347387072.7600000
trt=18|ses=0001|src=4-582|rup=008-01,4.7500000,1267689097.3000000
trt=18|ses=0001|src=4-608|rup=014-01,5.3500000,1122230879.3499999
trt=18|ses=0001|src=4-741|rup=008-01,4.7500000,1118301639.2900000
trt=18|ses=0001|src=4-599|rup=008-01,4.7500000,1089584750.7000000
trt=18|ses=0001|src=4-622|rup=005-01,4.4500000,1024411515.1700000
trt=18|ses=0001|src=4-680|rup=003-01,4.2500000,969804961.3260000
trt=18|ses=0001|src=4-826|rup=013-01,5.2500000,848731717.1000000
trt=18|ses=0001|src=4-781|rup=013-01,5.2500000,819408894.4930000
trt=18|ses=0001|src=4-821|rup=015-01,5.4500000,805236918.7850000
trt=17|ses=0001|src=1-189|rup=024-01,6.3500000,800989043.7200000
trt=18|ses=0001|src=4-660|rup=002-01,4.1500000,800154430.7520000
trt=18|ses=0001|src=4-741|rup=006-01,4.5500000,749310385.9990000
trt=18|ses=0001|src=4-797|rup=011-01,5.0500000,722654783.6660000
trt=18|ses=0001|src=4-643|rup=005-01,4.4500000,689950125.8910000
trt=18|ses=0001|src=4-343|rup=021-01,6.0500000,665800084.3260000
trt=18|ses=0001|src=4-644|rup=006-01,4.5500000,654928407.7610000
trt=18|ses=0001|src=4-864|rup=018-01,5.7500000,641693696.1930000
trt=18|ses=0001|src=4-655|rup=005-01,4.4500000,599652300.9440000
trt=18|ses=0001|src=4-720|rup=003-01,4.2500000,517833380.8800000
