Rupture,Magnitude,Aggregate Loss
trt=04|ses=0001|src=4-473|rup=028-01,6.7500000,18824485697.7000008
trt=04|ses=0001|src=4-700|rup=011-01,5.0500000,7507063363.9300003
trt=03|ses=0001|src=0-700|rup=035-01,7.4500000,7482054260.5500002
trt=04|ses=0001|src=4-619|rup=013-01,5.2500000,6550019130.4300003
trt=04|ses=0001|src=4-662|rup=011-01,5.0500000,6039665426.1499996
trt=04|ses=0001|src=4-661|rup=009-01,4.8500000,4956441220.9399996
trt=04|ses=0001|src=4-658|rup=009-01,4.8500000,4314952766.5699997
trt=04|ses=0001|src=4-738|rup=011-01,5.0500000,3519052335.3499999
trt=04|ses=0001|src=4-769|rup=017-01,5.6500000,3417812639.7199998
trt=04|ses=0001|src=4-758|rup=011-01,5.0500000,2665653979.3600001
trt=04|ses=0001|src=4-681|rup=007-01,4.6500000,2322869200.2300000
trt=04|ses=0001|src=4-581|rup=010-01,4.9500000,1976907031.0500000
trt=04|ses=0001|src=4-663|rup=009-01,4.8500000,1962312518.2400000
trt=04|ses=0001|src=4-130|rup=024-01,6.3500000,1654414034.1099999
trt=04|ses=0001|src=4-35|rup=027-01,6.6500000,1593240608.0400000
trt=04|ses=0001|src=4-675|rup=007-01,4.6500000,1528999638.4900000
trt=04|ses=0001|src=4-623|rup=007-01,4.6500000,1470153943.0999999
trt=03|ses=0001|src=1-944|rup=031-01,7.0500000,1409507175.2100000
trt=04|ses=0001|src=4-778|rup=010-01,4.9500000,1240790374.4600000
trt=04|ses=0001|src=4-626|rup=010-01,4.9500000,1109008202.7000000
trt=04|ses=0001|src=4-637|rup=007-01,4.6500000,1035698126.2300000
trt=04|ses=0001|src=4-562|rup=009-01,4.8500000,1023856149.1500000
trt=03|ses=0001|src=0-895|rup=029-01,6.8500000,904085741.9280000
trt=04|ses=0001|src=4-694|rup=007-01,4.6500000,854494351.6799999
trt=04|ses=0001|src=5-7542|rup=023-01,6.2500000,836535638.9010000
trt=04|ses=0001|src=4-587|rup=010-01,4.9500000,833608271.3660001
trt=04|ses=0001|src=4-789|rup=011-01,5.0500000,832028474.8600000
trt=04|ses=0001|src=4-269|rup=022-01,6.1500000,773423337.2550000
trt=04|ses=0001|src=4-646|rup=009-01,4.8500000,724900204.1200000
trt=03|ses=0001|src=0-457|rup=028-01,6.7500000,643081117.9340000
trt=04|ses=0001|src=4-620|rup=003-01,4.2500000,567878564.3390000
trt=03|ses=0001|src=0-1106|rup=025-01,6.4500000,548463879.3190000
trt=04|ses=0001|src=4-759|rup=003-01,4.2500000,542604904.8460000
trt=04|ses=0001|src=4-552|rup=015-01,5.4500000,538354618.6970000
trt=04|ses=0001|src=4-654|rup=008-01,4.7500000,512150130.8670000
trt=04|ses=0001|src=4-621|rup=002-01,4.1500000,481325057.3860000
trt=04|ses=0001|src=4-740|rup=005-01,4.4500000,465863731.6300000
trt=04|ses=0001|src=4-545|rup=009-01,4.8500000,452061298.2560000
trt=04|ses=0001|src=4-508|rup=012-01,5.1500000,445362353.9230000
trt=04|ses=0001|src=4-112|rup=021-01,6.0500000,409789577.0890000
trt=04|ses=0001|src=4-584|rup=005-01,4.4500000,399573210.2520000
trt=04|ses=0001|src=4-648|rup=011-01,5.0500000,398925468.3130000
trt=04|ses=0001|src=4-625|rup=005-01,4.4500000,384973994.6460000
trt=03|ses=0001|src=1-974|rup=023-01,6.2500000,319119091.9740000
trt=03|ses=0001|src=1-994|rup=023-01,6.2500000,286489624.7680000
trt=04|ses=0001|src=4-643|rup=002-01,4.1500000,284298413.4410000
trt=04|ses=0001|src=4-773|rup=002-01,4.1500000,265543573.7850000
trt=04|ses=0001|src=4-636|rup=002-01,4.1500000,263591485.3830000
trt=04|ses=0001|src=4-812|rup=007-01,4.6500000,257358627.0410000
trt=04|ses=0001|src=4-589|rup=009-01,4.8500000,241956882.9500000
trt=03|ses=0001|src=1-714|rup=022-01,6.1500000,236384440.6580000
trt=04|ses=0001|src=4-581|rup=002-01,4.1500000,234106252.5410000
trt=04|ses=0001|src=4-938|rup=017-01,5.6500000,231262942.3120000
trt=04|ses=0001|src=4-704|rup=003-01,4.2500000,227617341.8130000
trt=04|ses=0001|src=4-797|rup=008-01,4.7500000,223957541.6750000
trt=04|ses=0001|src=4-757|rup=001-01,4.0500000,219815780.7970000
trt=04|ses=0001|src=4-583|rup=002-01,4.1500000,219322241.7870000
trt=04|ses=0001|src=4-533|rup=013-01,5.2500000,207169569.1400000
trt=04|ses=0001|src=4-240|rup=017-01,5.6500000,205719894.6470000
trt=04|ses=0001|src=4-741|rup=001-01,4.0500000,202675489.4230000
trt=04|ses=0001|src=4-604|rup=002-01,4.1500000,198585337.0850000
trt=04|ses=0001|src=5-641|rup=021-01,6.0500000,189034020.9070000
trt=04|ses=0001|src=4-599|rup=001-01,4.0500000,171802431.9210000
trt=04|ses=0001|src=5-7031|rup=013-01,5.2500000,165406860.0740000
trt=04|ses=0001|src=4-560|rup=003-01,4.2500000,145256204.5750000
trt=04|ses=0001|src=4-491|rup=010-01,4.9500000,142665216.3740000
trt=04|ses=0001|src=5-7662|rup=019-01,5.8500000,142494706.8190000
trt=04|ses=0001|src=4-726|rup=003-01,4.2500000,139011283.2880000
trt=03|ses=0001|src=3-260|rup=020-01,5.9500000,130232411.4530000
trt=04|ses=0001|src=4-734|rup=001-01,4.0500000,130152847.4250000
trt=04|ses=0001|src=4-673|rup=002-01,4.1500000,119447969.0290000
trt=03|ses=0001|src=0-244|rup=018-01,5.7500000,112421433.4770000
trt=03|ses=0001|src=1-275|rup=020-01,5.9500000,111243935.4750000
trt=03|ses=0001|src=0-980|rup=022-01,6.1500000,110192746.6380000
trt=03|ses=0001|src=1-836|rup=022-01,6.1500000,104521589.8770000
trt=04|ses=0001|src=4-888|rup=013-01,5.2500000,102822938.6370000
trt=03|ses=0001|src=0-111|rup=018-01,5.7500000,98207365.6651000
trt=04|ses=0001|src=4-606|rup=002-01,4.1500000,94792138.9738000
trt=04|ses=0001|src=4-780|rup=006-01,4.5500000,91476935.6233000
trt=04|ses=0001|src=4-686|rup=004-01,4.3500000,84527304.9341000
trt=04|ses=0001|src=4-742|rup=002-01,4.1500000,80369552.2899000
trt=03|ses=0001|src=0-1033|rup=021-01,6.0500000,80227742.9510000
trt=04|ses=0001|src=5-6357|rup=015-01,5.4500000,78478648.7316000
trt=03|ses=0001|src=3-129|rup=021-01,6.0500000,77427414.1052000
trt=04|ses=0001|src=4-652|rup=010-01,4.9500000,76147384.1825000
trt=04|ses=0001|src=5-1551|rup=018-01,5.7500000,70793584.5270000
