Rupture,Magnitude,Aggregate Loss
trt=05|ses=0001|src=0-282|rup=032-01,7.1500000,4468339951.7500000
trt=06|ses=0001|src=4-720|rup=009-01,4.8500000,3031564542.3800001
trt=06|ses=0001|src=4-638|rup=008-01,4.7500000,2769588503.4400001
trt=06|ses=0001|src=4-642|rup=007-01,4.6500000,2266097776.2199998
trt=06|ses=0001|src=4-838|rup=018-01,5.7500000,1727530974.6500001
trt=06|ses=0001|src=4-602|rup=008-01,4.7500000,1499272200.3599999
trt=05|ses=0001|src=0-349|rup=026-01,6.5500000,1227584310.9100001
trt=06|ses=0001|src=5-6981|rup=023-01,6.2500000,1148323442.6800001
trt=05|ses=0001|src=0-244|rup=025-01,6.4500000,1124520771.3099999
trt=06|ses=0001|src=4-564|rup=010-01,4.9500000,1082825187.0200000
trt=06|ses=0001|src=4-704|rup=010-01,4.9500000,1052984023.1200000
trt=05|ses=0001|src=1-403|rup=027-01,6.6500000,742700290.9230000
trt=05|ses=0001|src=2-482|rup=030-01,6.9500000,712336267.0170000
trt=06|ses=0001|src=4-564|rup=008-01,4.7500000,709357048.9840000
trt=05|ses=0001|src=2-46|rup=029-01,6.8500000,577275289.2220000
trt=05|ses=0001|src=0-1077|rup=027-01,6.6500000,552231293.1310000
trt=05|ses=0001|src=0-310|rup=027-01,6.6500000,547033643.0050000
trt=06|ses=0001|src=4-251|rup=020-01,5.9500000,444573871.0230000
trt=06|ses=0001|src=5-4221|rup=021-01,6.0500000,424258479.3900000
trt=05|ses=0001|src=0-1044|rup=026-01,6.5500000,423880576.6260000
trt=06|ses=0001|src=4-247|rup=019-01,5.8500000,409670711.5290000
trt=05|ses=0001|src=2-505|rup=024-01,6.3500000,385612114.9590000
trt=05|ses=0001|src=1-619|rup=026-01,6.5500000,373546248.3120000
trt=06|ses=0001|src=4-526|rup=010-01,4.9500000,353541857.8640000
trt=05|ses=0001|src=1-602|rup=024-01,6.3500000,344028365.8910000
trt=05|ses=0001|src=2-211|rup=025-01,6.4500000,331303213.4740000
trt=05|ses=0001|src=1-181|rup=023-01,6.2500000,316558754.6740000
trt=06|ses=0001|src=4-817|rup=015-01,5.4500000,314632792.8360000
trt=06|ses=0001|src=4-708|rup=010-01,4.9500000,270679829.8210000
trt=05|ses=0001|src=0-52|rup=020-01,5.9500000,264665781.4710000
trt=06|ses=0001|src=4-598|rup=003-01,4.2500000,263494855.1680000
trt=05|ses=0001|src=0-442|rup=021-01,6.0500000,231254757.8190000
trt=05|ses=0001|src=2-127|rup=025-01,6.4500000,228046585.9440000
trt=06|ses=0001|src=4-783|rup=013-01,5.2500000,223572721.6900000
trt=05|ses=0001|src=0-401|rup=024-01,6.3500000,214534028.6820000
trt=05|ses=0001|src=0-278|rup=021-01,6.0500000,208128331.2820000
trt=05|ses=0001|src=0-850|rup=021-01,6.0500000,195839988.2440000
trt=06|ses=0001|src=4-493|rup=011-01,5.0500000,194605646.6500000
trt=05|ses=0001|src=0-792|rup=022-01,6.1500000,182840799.7480000
trt=05|ses=0001|src=0-708|rup=022-01,6.1500000,169649626.7560000
trt=05|ses=0001|src=2-86|rup=026-01,6.5500000,155403502.6230000
trt=05|ses=0001|src=0-330|rup=020-01,5.9500000,143888791.6020000
trt=05|ses=0001|src=1-168|rup=021-01,6.0500000,138023699.2190000
trt=06|ses=0001|src=4-777|rup=002-01,4.1500000,130780673.0170000
trt=06|ses=0001|src=4-846|rup=011-01,5.0500000,127158852.8430000
trt=05|ses=0001|src=0-280|rup=019-01,5.8500000,125836704.8260000
trt=06|ses=0001|src=4-810|rup=004-01,4.3500000,124978466.7650000
trt=06|ses=0001|src=4-355|rup=014-01,5.3500000,114994547.3910000
trt=05|ses=0001|src=0-311|rup=021-01,6.0500000,114237696.0300000
trt=05|ses=0001|src=0-224|rup=019-01,5.8500000,112728484.1950000
trt=05|ses=0001|src=1-1338|rup=020-01,5.9500000,100946662.9730000
trt=05|ses=0001|src=2-697|rup=022-01,6.1500000,98597834.2878000
trt=06|ses=0001|src=4-390|rup=014-01,5.3500000,96296231.5219000
trt=06|ses=0001|src=4-779|rup=003-01,4.2500000,96170294.0134000
trt=05|ses=0001|src=0-479|rup=019-01,5.8500000,92149357.6153000
trt=06|ses=0001|src=4-200|rup=014-01,5.3500000,91427003.7188000
trt=05|ses=0001|src=0-162|rup=021-01,6.0500000,89329036.6763000
trt=05|ses=0001|src=0-1115|rup=022-01,6.1500000,87409888.6768000
trt=05|ses=0001|src=0-283|rup=018-01,5.7500000,83308992.9260000
trt=06|ses=0001|src=5-6694|rup=014-01,5.3500000,82883243.1947000
trt=05|ses=0001|src=2-256|rup=021-01,6.0500000,77829265.7653000
trt=05|ses=0001|src=2-534|rup=023-01,6.2500000,65908516.2783000
trt=05|ses=0001|src=2-686|rup=020-01,5.9500000,65828313.0257000
trt=05|ses=0001|src=1-1284|rup=019-01,5.8500000,62772619.4565000
trt=05|ses=0001|src=2-527|rup=021-01,6.0500000,62438136.5420000
trt=06|ses=0001|src=5-3694|rup=014-01,5.3500000,61095229.9682000
trt=05|ses=0001|src=0-519|rup=019-01,5.8500000,55458532.1799000
trt=05|ses=0001|src=0-336|rup=017-01,5.6500000,55032123.3244000
trt=06|ses=0001|src=4-744|rup=003-01,4.2500000,53002269.7000000
trt=06|ses=0001|src=4-645|rup=002-01,4.1500000,52042094.4248000
trt=05|ses=0001|src=0-208|rup=019-01,5.8500000,51184226.5400000
trt=05|ses=0001|src=0-354|rup=020-01,5.9500000,48834744.6484000
trt=05|ses=0001|src=1-1420|rup=019-01,5.8500000,46737912.3935000
trt=06|ses=0001|src=5-3712|rup=016-01,5.5500000,45741057.4847000
trt=05|ses=0001|src=0-584|rup=018-01,5.7500000,43927530.2826000
trt=06|ses=0001|src=5-5721|rup=014-01,5.3500000,41824630.9753000
trt=05|ses=0001|src=0-774|rup=020-01,5.9500000,39914946.3860000
trt=06|ses=0001|src=4-505|rup=005-01,4.4500000,39316879.7919000
trt=05|ses=0001|src=0-85|rup=016-01,5.5500000,39065462.8294000
trt=06|ses=0001|src=4-885|rup=010-01,4.9500000,38965890.3146000
trt=06|ses=0001|src=4-781|rup=002-01,4.1500000,38396883.5288000
trt=05|ses=0001|src=2-569|rup=019-01,5.8500000,37118821.2347000
trt=05|ses=0001|src=2-219|rup=019-01,5.8500000,37002237.1407000
trt=05|ses=0001|src=2-188|rup=021-01,6.0500000,36660068.6263000
trt=05|ses=0001|src=2-555|rup=016-01,5.5500000,35896551.7061000
trt=05|ses=0001|src=0-977|rup=019-01,5.8500000,32177533.3788000
trt=05|ses=0001|src=0-35|rup=017-01,5.6500000,31935165.8027000
trt=06|ses=0001|src=4-392|rup=012-01,5.1500000,27938974.4042000
trt=05|ses=0001|src=2-564|rup=018-01,5.7500000,27894413.8299000
trt=05|ses=0001|src=2-665|rup=018-01,5.7500000,27727693.0182000
trt=05|ses=0001|src=0-201|rup=015-01,5.4500000,26319238.7796000
trt=05|ses=0001|src=0-102|rup=015-01,5.4500000,25493923.3487000
trt=05|ses=0001|src=1-20|rup=016-01,5.5500000,24607903.2559000
trt=06|ses=0001|src=4-712|rup=001-01,4.0500000,22494857.0211000
trt=05|ses=0001|src=1-774|rup=016-01,5.5500000,22353379.6659000
trt=05|ses=0001|src=2-30|rup=020-01,5.9500000,21990466.6679000
trt=06|ses=0001|src=4-465|rup=012-01,5.1500000,21896686.7865000
trt=05|ses=0001|src=0-318|rup=017-01,5.6500000,21818633.3867000
trt=05|ses=0001|src=0-290|rup=015-01,5.4500000,21659996.9027000
trt=05|ses=0001|src=0-415|rup=016-01,5.5500000,21474013.5855000
trt=06|ses=0001|src=4-814|rup=002-01,4.1500000,21466130.8446000
trt=06|ses=0001|src=4-781|rup=003-01,4.2500000,20447625.2930000
trt=05|ses=0001|src=0-143|rup=015-01,5.4500000,20153173.9477000
trt=05|ses=0001|src=0-142|rup=014-01,5.3500000,19487333.5546000
trt=06|ses=0001|src=4-611|rup=005-01,4.4500000,19080048.7198000
trt=06|ses=0001|src=4-363|rup=011-01,5.0500000,18945496.2447000
trt=05|ses=0001|src=2-554|rup=016-01,5.5500000,18757670.5527000
trt=05|ses=0001|src=0-651|rup=017-01,5.6500000,18483238.9581000
trt=05|ses=0001|src=2-453|rup=015-01,5.4500000,17863688.8273000
trt=05|ses=0001|src=2-233|rup=024-01,6.3500000,17742285.0821000
trt=05|ses=0001|src=0-612|rup=017-01,5.6500000,17414155.6254000
trt=05|ses=0001|src=2-687|rup=017-01,5.6500000,17155117.6505000
trt=05|ses=0001|src=0-747|rup=017-01,5.6500000,16796592.0042000
trt=05|ses=0001|src=0-575|rup=016-01,5.5500000,16661035.5580000
trt=05|ses=0001|src=0-209|rup=017-01,5.6500000,16585278.1824000
trt=05|ses=0001|src=2-396|rup=026-01,6.5500000,16555108.8175000
trt=06|ses=0001|src=6-778|rup=014-01,5.3500000,15730628.0578000
trt=06|ses=0001|src=4-825|rup=003-01,4.2500000,15662724.1671000
trt=06|ses=0001|src=4-546|rup=001-01,4.0500000,13656246.3620000
trt=05|ses=0001|src=0-771|rup=013-01,5.2500000,13372065.8748000
trt=05|ses=0001|src=0-459|rup=017-01,5.6500000,13325342.4505000
trt=05|ses=0001|src=0-471|rup=015-01,5.4500000,13280032.2507000
trt=05|ses=0001|src=0-1074|rup=017-01,5.6500000,13070702.4576000
trt=05|ses=0001|src=1-630|rup=016-01,5.5500000,13038985.9915000
trt=05|ses=0001|src=0-237|rup=014-01,5.3500000,12804812.7645000
trt=06|ses=0001|src=4-749|rup=003-01,4.2500000,12586978.1016000
trt=05|ses=0001|src=1-876|rup=015-01,5.4500000,12467956.7486000
trt=06|ses=0001|src=6-560|rup=013-01,5.2500000,11972329.7955000
trt=05|ses=0001|src=0-635|rup=014-01,5.3500000,11904661.6473000
trt=05|ses=0001|src=1-297|rup=015-01,5.4500000,11267526.1620000
trt=05|ses=0001|src=1-512|rup=017-01,5.6500000,11262492.2563000
trt=05|ses=0001|src=0-683|rup=017-01,5.6500000,11259844.7416000
trt=05|ses=0001|src=2-468|rup=017-01,5.6500000,11149385.0731000
trt=05|ses=0001|src=1-492|rup=014-01,5.3500000,10766569.7823000
trt=06|ses=0001|src=4-691|rup=002-01,4.1500000,10731881.1761000
trt=05|ses=0001|src=2-331|rup=017-01,5.6500000,10675317.2237000
trt=05|ses=0001|src=0-743|rup=017-01,5.6500000,10634784.2661000
trt=05|ses=0001|src=2-166|rup=020-01,5.9500000,10474425.9337000
trt=06|ses=0001|src=4-73|rup=013-01,5.2500000,10474190.0187000
trt=05|ses=0001|src=0-1033|rup=017-01,5.6500000,10454973.7096000
trt=05|ses=0001|src=0-1058|rup=016-01,5.5500000,10437380.5857000
trt=05|ses=0001|src=1-35|rup=014-01,5.3500000,10300091.3730000
trt=06|ses=0001|src=5-6731|rup=011-01,5.0500000,10268876.1885000
trt=05|ses=0001|src=0-1137|rup=016-01,5.5500000,9709241.2683300
trt=05|ses=0001|src=2-465|rup=016-01,5.5500000,9588568.0993300
trt=05|ses=0001|src=0-1268|rup=016-01,5.5500000,9458337.7368600
trt=06|ses=0001|src=4-709|rup=001-01,4.0500000,9287327.5847400
trt=05|ses=0001|src=0-847|rup=015-01,5.4500000,9271441.6218800
trt=05|ses=0001|src=0-1009|rup=017-01,5.6500000,8686974.1038800
trt=05|ses=0001|src=2-467|rup=016-01,5.5500000,8626363.8202200
trt=05|ses=0001|src=0-329|rup=014-01,5.3500000,8546084.2204600
trt=05|ses=0001|src=0-90|rup=014-01,5.3500000,8304776.0349700
trt=05|ses=0001|src=0-1049|rup=016-01,5.5500000,8255477.1717000
trt=05|ses=0001|src=0-297|rup=013-01,5.2500000,8041039.1127400
trt=06|ses=0001|src=5-7055|rup=012-01,5.1500000,7641970.3497300
trt=05|ses=0001|src=1-790|rup=015-01,5.4500000,7367818.6122600
trt=05|ses=0001|src=2-626|rup=018-01,5.7500000,7121974.0067700
trt=05|ses=0001|src=2-368|rup=016-01,5.5500000,7048078.4738100
trt=05|ses=0001|src=0-804|rup=014-01,5.3500000,7033332.4543800
trt=05|ses=0001|src=0-436|rup=013-01,5.2500000,6329204.6186400
trt=06|ses=0001|src=4-590|rup=003-01,4.2500000,6291428.0603300
trt=06|ses=0001|src=4-808|rup=001-01,4.0500000,6250708.9974600
trt=05|ses=0001|src=2-642|rup=014-01,5.3500000,6207186.8946700
trt=05|ses=0001|src=2-325|rup=015-01,5.4500000,6185523.9506800
trt=05|ses=0001|src=0-839|rup=015-01,5.4500000,6160663.2547500
trt=06|ses=0001|src=4-399|rup=009-01,4.8500000,5980375.4763700
trt=06|ses=0001|src=5-6823|rup=001-01,4.0500000,5926175.7333700
trt=06|ses=0001|src=4-181|rup=010-01,4.9500000,5892081.3764200
trt=06|ses=0001|src=7-1390|rup=016-01,5.5500000,5597898.9209300
trt=05|ses=0001|src=0-243|rup=012-01,5.1500000,5523332.8685700
trt=05|ses=0001|src=1-1307|rup=015-01,5.4500000,5153167.0105800
trt=05|ses=0001|src=2-458|rup=015-01,5.4500000,5100087.2040400
trt=06|ses=0001|src=4-508|rup=002-01,4.1500000,4885689.5929700
trt=06|ses=0001|src=5-7829|rup=012-01,5.1500000,4797728.3709300
trt=05|ses=0001|src=0-385|rup=011-01,5.0500000,4750227.7905800
trt=05|ses=0001|src=0-705|rup=013-01,5.2500000,4732870.5465700
trt=05|ses=0001|src=0-780|rup=016-01,5.5500000,4494322.8312900
trt=06|ses=0001|src=6-680|rup=013-01,5.2500000,4442842.7568900
trt=05|ses=0001|src=1-1409|rup=014-01,5.3500000,4369663.7983300
trt=06|ses=0001|src=4-278|rup=007-01,4.6500000,4344976.6099200
trt=05|ses=0001|src=0-279|rup=011-01,5.0500000,4254439.2505500
trt=05|ses=0001|src=1-105|rup=012-01,5.1500000,4246721.3802500
trt=05|ses=0001|src=0-1047|rup=015-01,5.4500000,4207020.0680200
trt=05|ses=0001|src=2-227|rup=015-01,5.4500000,4199254.4926300
trt=06|ses=0001|src=4-425|rup=007-01,4.6500000,4136858.4068200
trt=05|ses=0001|src=0-683|rup=014-01,5.3500000,4125636.2122500
