Rupture,Magnitude,Aggregate Loss
trt=14|ses=0001|src=5-155|rup=019-01,5.8500000,11328474378.2999992
trt=14|ses=0001|src=5-123|rup=013-01,5.2500000,4929443722.7900000
trt=14|ses=0001|src=5-204|rup=015-01,5.4500000,4467851674.4099998
trt=13|ses=0001|src=0-1273|rup=038-01,7.7500000,4293427945.9200001
trt=14|ses=0001|src=5-130|rup=006-01,4.5500000,3818900558.1999998
trt=14|ses=0001|src=5-156|rup=013-01,5.2500000,3761826283.4899998
trt=14|ses=0001|src=5-136|rup=009-01,4.8500000,2634064526.6100001
trt=14|ses=0001|src=5-224|rup=015-01,5.4500000,2628796615.9899998
trt=14|ses=0001|src=5-156|rup=010-01,4.9500000,2534690136.1900001
trt=13|ses=0001|src=0-948|rup=031-01,7.0500000,2509926573.8600001
trt=14|ses=0001|src=5-118|rup=005-01,4.4500000,2278834870.2800002
trt=14|ses=0001|src=5-84|rup=012-01,5.1500000,2121353265.0500000
trt=14|ses=0001|src=5-127|rup=005-01,4.4500000,2018663512.6800001
trt=14|ses=0001|src=4-374|rup=011-01,5.0500000,1915944187.7100000
trt=14|ses=0001|src=5-93|rup=011-01,5.0500000,1854976799.9500000
trt=13|ses=0001|src=0-359|rup=028-01,6.7500000,1792330482.8299999
trt=14|ses=0001|src=5-108|rup=005-01,4.4500000,1757383046.2800000
trt=14|ses=0001|src=5-111|rup=006-01,4.5500000,1713213442.3800001
trt=14|ses=0001|src=5-188|rup=011-01,5.0500000,1681310589.0599999
trt=14|ses=0001|src=5-112|rup=008-01,4.7500000,1583437876.5500000
trt=14|ses=0001|src=5-119|rup=001-01,4.0500000,1536841841.5300000
trt=14|ses=0001|src=6-114|rup=016-01,5.5500000,1508395166.6700001
trt=14|ses=0001|src=5-123|rup=007-01,4.6500000,1500064310.2400000
trt=14|ses=0001|src=5-85|rup=011-01,5.0500000,1374333087.4100001
trt=14|ses=0001|src=4-404|rup=013-01,5.2500000,1292973036.3800001
trt=14|ses=0001|src=5-139|rup=002-01,4.1500000,1200081797.2800000
trt=14|ses=0001|src=6-114|rup=016-02,5.5500000,1181435268.3099999
trt=14|ses=0001|src=5-193|rup=008-01,4.7500000,1141879838.7500000
trt=14|ses=0001|src=6-514|rup=021-01,6.0500000,1133407467.6900001
trt=13|ses=0001|src=0-1158|rup=030-01,6.9500000,980737321.6430000
trt=14|ses=0001|src=5-108|rup=003-01,4.2500000,967430559.0130000
trt=14|ses=0001|src=6-265|rup=017-01,5.6500000,946349246.6300000
trt=14|ses=0001|src=5-138|rup=001-01,4.0500000,892159529.2180001
trt=14|ses=0001|src=6-95|rup=006-01,4.5500000,866032675.7610000
trt=14|ses=0001|src=4-331|rup=014-01,5.3500000,800761646.7130001
trt=14|ses=0001|src=5-73|rup=008-01,4.7500000,778073802.5829999
trt=14|ses=0001|src=6-170|rup=011-01,5.0500000,740413479.8900000
trt=14|ses=0001|src=5-61|rup=013-01,5.2500000,728798498.4460000
trt=14|ses=0001|src=5-118|rup=003-01,4.2500000,715352245.1630000
trt=14|ses=0001|src=4-384|rup=007-01,4.6500000,651524442.9170001
trt=14|ses=0001|src=5-122|rup=002-01,4.1500000,595280237.1710000
trt=14|ses=0001|src=5-128|rup=001-01,4.0500000,584834231.2840000
trt=14|ses=0001|src=5-71|rup=006-01,4.5500000,578395143.5590000
trt=14|ses=0001|src=5-91|rup=003-01,4.2500000,568012761.9020000
trt=14|ses=0001|src=5-148|rup=004-01,4.3500000,558978922.7040000
