Rupture,Magnitude,Aggregate Loss
trt=08|ses=0001|src=6-65|rup=031-01,7.0500000,42294437540.0000000
trt=08|ses=0001|src=6-134|rup=025-01,6.4500000,13545559519.0000000
trt=08|ses=0001|src=5-145|rup=016-01,5.5500000,10800884747.1000004
trt=08|ses=0001|src=6-123|rup=021-01,6.0500000,7993124347.6000004
trt=08|ses=0001|src=6-87|rup=023-01,6.2500000,6974884335.4799995
trt=08|ses=0001|src=5-106|rup=018-01,5.7500000,5586623546.6199999
trt=08|ses=0001|src=6-42|rup=029-01,6.8500000,5045532685.0000000
trt=08|ses=0001|src=6-95|rup=014-01,5.3500000,4867242605.0100002
trt=08|ses=0001|src=5-126|rup=012-01,5.1500000,4635637148.3500004
trt=08|ses=0001|src=6-146|rup=017-01,5.6500000,3496173919.2399998
trt=08|ses=0001|src=5-126|rup=008-01,4.7500000,3108452759.5000000
trt=08|ses=0001|src=5-162|rup=008-01,4.7500000,2997278534.4800000
trt=08|ses=0001|src=5-127|rup=007-01,4.6500000,2923030977.4200001
trt=08|ses=0001|src=5-119|rup=005-02,4.4500000,2900633434.8400002
trt=08|ses=0001|src=5-119|rup=005-01,4.4500000,2835586451.6599998
trt=07|ses=0001|src=0-1608|rup=034-01,7.3500000,2702401454.1300001
trt=08|ses=0001|src=5-150|rup=006-01,4.5500000,2585903582.3299999
trt=08|ses=0001|src=5-129|rup=004-01,4.3500000,2065833227.2400000
trt=08|ses=0001|src=5-80|rup=009-01,4.8500000,1954723268.1900001
trt=08|ses=0001|src=5-99|rup=005-01,4.4500000,1787446372.7200000
trt=08|ses=0001|src=5-158|rup=008-02,4.7500000,1699693023.0999999
trt=08|ses=0001|src=6-245|rup=020-01,5.9500000,1670054421.1300001
trt=08|ses=0001|src=6-70|rup=018-01,5.7500000,1615154052.8699999
trt=08|ses=0001|src=5-124|rup=009-01,4.8500000,1415517115.1700001
trt=08|ses=0001|src=6-209|rup=016-01,5.5500000,1365982660.2800000
trt=08|ses=0001|src=6-337|rup=019-01,5.8500000,1268403530.0999999
trt=08|ses=0001|src=4-409|rup=008-01,4.7500000,1230067125.0599999
trt=08|ses=0001|src=5-137|rup=004-01,4.3500000,1062080237.6100000
trt=08|ses=0001|src=5-158|rup=008-01,4.7500000,990964264.7700000
trt=08|ses=0001|src=5-93|rup=007-01,4.6500000,944447052.1500000
trt=08|ses=0001|src=5-182|rup=006-01,4.5500000,931376794.3660001
trt=08|ses=0001|src=5-130|rup=002-01,4.1500000,913741399.2670000
trt=08|ses=0001|src=5-104|rup=009-01,4.8500000,911261672.3740000
trt=08|ses=0001|src=5-141|rup=002-02,4.1500000,760829071.7330000
trt=08|ses=0001|src=3-287|rup=024-01,6.3500000,759316644.1910000
trt=08|ses=0001|src=4-384|rup=007-01,4.6500000,753047743.2810000
trt=08|ses=0001|src=5-152|rup=002-01,4.1500000,700091299.5390000
trt=08|ses=0001|src=5-65|rup=010-01,4.9500000,698184524.1250000
trt=08|ses=0001|src=5-111|rup=001-01,4.0500000,658351738.9130000
trt=08|ses=0001|src=8-213|rup=017-01,5.6500000,622960506.9360000
trt=08|ses=0001|src=4-408|rup=003-01,4.2500000,604595036.2370000
trt=08|ses=0001|src=4-384|rup=004-01,4.3500000,586134969.6059999
trt=08|ses=0001|src=3-76|rup=024-01,6.3500000,564126118.6569999
trt=08|ses=0001|src=5-149|rup=001-01,4.0500000,523252648.8290000
trt=08|ses=0001|src=5-141|rup=002-01,4.1500000,487585412.5790000
trt=07|ses=0001|src=0-2104|rup=029-01,6.8500000,479232098.5660000
trt=07|ses=0001|src=2-565|rup=027-01,6.6500000,471315193.8900000
trt=08|ses=0001|src=5-169|rup=006-01,4.5500000,468714332.2090000
trt=07|ses=0001|src=2-1052|rup=026-01,6.5500000,467290596.4250000
trt=08|ses=0001|src=6-111|rup=006-01,4.5500000,466737018.9430000
trt=07|ses=0001|src=0-3|rup=024-01,6.3500000,458021420.2420000
trt=08|ses=0001|src=4-445|rup=002-01,4.1500000,452071694.7480000
trt=08|ses=0001|src=5-112|rup=003-01,4.2500000,438194964.0400000
trt=08|ses=0001|src=5-102|rup=001-01,4.0500000,427784919.0780000
trt=08|ses=0001|src=4-369|rup=009-01,4.8500000,402729133.5660000
trt=08|ses=0001|src=4-417|rup=009-01,4.8500000,378502876.2930000
trt=07|ses=0001|src=0-575|rup=023-01,6.2500000,365854714.1940000
trt=08|ses=0001|src=6-35|rup=011-01,5.0500000,361318137.1150000
trt=08|ses=0001|src=5-79|rup=011-01,5.0500000,358057435.6410000
trt=08|ses=0001|src=6-13|rup=017-01,5.6500000,355491362.3020000
trt=08|ses=0001|src=5-80|rup=005-01,4.4500000,344424068.8170000
trt=08|ses=0001|src=5-124|rup=003-01,4.2500000,340768999.3590000
trt=08|ses=0001|src=5-153|rup=002-01,4.1500000,322792433.4890000
trt=08|ses=0001|src=4-421|rup=002-01,4.1500000,320642079.6340000
trt=08|ses=0001|src=3-244|rup=023-01,6.2500000,304616051.1100000
trt=07|ses=0001|src=2-1601|rup=025-01,6.4500000,302145286.8030000
trt=08|ses=0001|src=6-327|rup=016-01,5.5500000,270618540.1040000
trt=08|ses=0001|src=5-200|rup=005-01,4.4500000,251174513.1740000
trt=08|ses=0001|src=6-126|rup=007-01,4.6500000,247755114.1340000
trt=08|ses=0001|src=5-48|rup=010-01,4.9500000,245975928.5330000
trt=08|ses=0001|src=4-481|rup=009-01,4.8500000,233382113.6940000
trt=07|ses=0001|src=0-142|rup=020-01,5.9500000,220721869.5910000
trt=08|ses=0001|src=5-144|rup=002-01,4.1500000,220033178.3890000
trt=07|ses=0001|src=1-343|rup=022-01,6.1500000,214425665.4300000
trt=08|ses=0001|src=6-108|rup=003-01,4.2500000,207677788.4320000
trt=08|ses=0001|src=6-44|rup=006-01,4.5500000,206328811.3650000
