Rupture,Magnitude,Aggregate Loss
trt=09|ses=0001|src=0-762|rup=050-01,8.9500000,38158285613.6999969
trt=10|ses=0001|src=6-143|rup=025-01,6.4500000,32848829935.2999992
trt=10|ses=0001|src=6-65|rup=027-01,6.6500000,21314295517.4000015
trt=10|ses=0001|src=5-120|rup=012-01,5.1500000,15174651081.2999992
trt=10|ses=0001|src=5-118|rup=012-01,5.1500000,12338902751.6000004
trt=10|ses=0001|src=5-193|rup=018-01,5.7500000,11026718862.8999996
trt=10|ses=0001|src=5-111|rup=011-01,5.0500000,9913451821.3400002
trt=10|ses=0001|src=5-270|rup=026-01,6.5500000,6555513012.5100002
trt=10|ses=0001|src=4-432|rup=013-01,5.2500000,3660650866.5900002
trt=10|ses=0001|src=6-184|rup=019-01,5.8500000,3511601095.9299998
trt=10|ses=0001|src=5-135|rup=010-01,4.9500000,3029007695.2100000
trt=09|ses=0001|src=0-477|rup=030-01,6.9500000,3004454223.5900002
trt=10|ses=0001|src=6-158|rup=017-01,5.6500000,2928218248.8899999
trt=10|ses=0001|src=5-147|rup=009-01,4.8500000,2893951396.3299999
trt=10|ses=0001|src=5-110|rup=007-01,4.6500000,2873102518.0799999
trt=10|ses=0001|src=6-107|rup=011-01,5.0500000,2503421193.5000000
trt=09|ses=0001|src=2-1289|rup=032-01,7.1500000,2397526977.8499999
trt=10|ses=0001|src=4-324|rup=015-01,5.4500000,2291621351.6100001
trt=09|ses=0001|src=2-1036|rup=032-01,7.1500000,2269465298.4600000
trt=10|ses=0001|src=3-123|rup=026-01,6.5500000,1995352210.0200000
trt=10|ses=0001|src=5-90|rup=009-01,4.8500000,1971275763.5400000
trt=10|ses=0001|src=5-166|rup=012-01,5.1500000,1682727098.6199999
trt=10|ses=0001|src=5-110|rup=005-01,4.4500000,1619796611.0599999
trt=10|ses=0001|src=5-136|rup=005-01,4.4500000,1609014067.5500000
trt=10|ses=0001|src=5-144|rup=009-01,4.8500000,1554881249.0500000
trt=09|ses=0001|src=0-938|rup=030-01,6.9500000,1543266718.9600000
trt=10|ses=0001|src=5-90|rup=006-01,4.5500000,1511211748.7300000
trt=10|ses=0001|src=5-160|rup=006-01,4.5500000,1417869234.8900001
trt=10|ses=0001|src=5-34|rup=017-01,5.6500000,1387814426.3900001
trt=10|ses=0001|src=5-94|rup=010-01,4.9500000,1349450150.1700001
trt=10|ses=0001|src=5-141|rup=005-01,4.4500000,1349203423.7000000
trt=10|ses=0001|src=5-143|rup=006-01,4.5500000,1298243548.8699999
trt=10|ses=0001|src=3-38|rup=027-01,6.6500000,1249085028.9300001
trt=10|ses=0001|src=5-139|rup=003-01,4.2500000,1187943788.9200001
trt=10|ses=0001|src=3-126|rup=025-01,6.4500000,1114174885.1700001
trt=10|ses=0001|src=6-396|rup=022-01,6.1500000,1071565794.7400000
trt=10|ses=0001|src=4-397|rup=005-01,4.4500000,1025684969.6100000
trt=10|ses=0001|src=5-173|rup=005-01,4.4500000,1008002687.8300000
trt=09|ses=0001|src=1-49|rup=025-01,6.4500000,969074427.3350000
trt=10|ses=0001|src=5-103|rup=007-01,4.6500000,950313437.5030000
trt=10|ses=0001|src=5-55|rup=011-01,5.0500000,935001986.0620000
trt=09|ses=0001|src=2-1201|rup=029-01,6.8500000,908618091.1490000
trt=10|ses=0001|src=5-147|rup=005-01,4.4500000,904652005.9349999
trt=10|ses=0001|src=5-147|rup=006-01,4.5500000,884067137.5970000
trt=10|ses=0001|src=5-141|rup=003-01,4.2500000,847603930.5260000
trt=10|ses=0001|src=6-147|rup=012-01,5.1500000,759628525.4780000
trt=10|ses=0001|src=5-133|rup=003-01,4.2500000,745059028.5700001
trt=10|ses=0001|src=5-142|rup=003-01,4.2500000,722761596.5900000
trt=09|ses=0001|src=2-847|rup=027-01,6.6500000,714904572.5779999
trt=10|ses=0001|src=5-186|rup=013-01,5.2500000,712002678.4020000
trt=10|ses=0001|src=5-183|rup=004-01,4.3500000,699210964.0810000
trt=10|ses=0001|src=4-315|rup=014-01,5.3500000,660341764.6010000
trt=10|ses=0001|src=5-158|rup=002-01,4.1500000,659957570.4730000
trt=10|ses=0001|src=5-136|rup=003-01,4.2500000,628275002.6030000
trt=09|ses=0001|src=0-1413|rup=026-01,6.5500000,608734378.2290000
trt=10|ses=0001|src=5-99|rup=002-01,4.1500000,559339363.4700000
trt=10|ses=0001|src=5-132|rup=001-01,4.0500000,551906025.1260000
trt=10|ses=0001|src=4-396|rup=004-01,4.3500000,544086021.2990000
trt=10|ses=0001|src=5-219|rup=013-01,5.2500000,516039217.4370000
trt=10|ses=0001|src=5-86|rup=008-01,4.7500000,471020898.0620000
trt=09|ses=0001|src=0-1942|rup=027-01,6.6500000,462552059.6200000
trt=10|ses=0001|src=5-159|rup=002-01,4.1500000,460705047.3590000
trt=10|ses=0001|src=5-235|rup=011-01,5.0500000,456371842.8780000
trt=09|ses=0001|src=1-315|rup=024-01,6.3500000,444045848.8290000
trt=10|ses=0001|src=5-121|rup=001-01,4.0500000,443582178.9880000
trt=10|ses=0001|src=4-416|rup=012-01,5.1500000,431588414.7770000
trt=09|ses=0001|src=1-449|rup=025-01,6.4500000,422504963.8830000
trt=10|ses=0001|src=5-210|rup=010-01,4.9500000,389854405.7250000
trt=10|ses=0001|src=4-421|rup=003-01,4.2500000,389737271.8660000
trt=10|ses=0001|src=5-63|rup=006-01,4.5500000,363852801.2470000
trt=10|ses=0001|src=5-177|rup=007-01,4.6500000,361151067.1380000
trt=10|ses=0001|src=5-126|rup=001-01,4.0500000,359841716.8720000
trt=10|ses=0001|src=5-6|rup=015-01,5.4500000,339823803.6360000
trt=09|ses=0001|src=0-1843|rup=027-01,6.6500000,338212110.3610000
trt=10|ses=0001|src=5-179|rup=003-01,4.2500000,336738113.4410000
trt=10|ses=0001|src=5-136|rup=002-01,4.1500000,328666800.3740000
trt=10|ses=0001|src=3-162|rup=021-01,6.0500000,309218580.6750000
trt=10|ses=0001|src=6-425|rup=019-01,5.8500000,302095738.4020000
trt=09|ses=0001|src=0-795|rup=022-01,6.1500000,301989434.1660000
trt=09|ses=0001|src=0-804|rup=025-01,6.4500000,297142325.3500000
trt=10|ses=0001|src=5-209|rup=011-01,5.0500000,279482632.8440000
trt=10|ses=0001|src=4-409|rup=002-01,4.1500000,267530945.9180000
trt=09|ses=0001|src=0-1611|rup=025-01,6.4500000,265100848.7210000
trt=09|ses=0001|src=2-737|rup=023-01,6.2500000,254795348.7100000
trt=10|ses=0001|src=4-444|rup=003-01,4.2500000,252077385.5980000
trt=09|ses=0001|src=0-704|rup=024-01,6.3500000,241986497.3250000
trt=10|ses=0001|src=5-94|rup=002-01,4.1500000,233252626.7710000
trt=10|ses=0001|src=4-432|rup=003-01,4.2500000,230177559.4130000
trt=09|ses=0001|src=0-1948|rup=024-01,6.3500000,216625320.0610000
trt=10|ses=0001|src=5-48|rup=008-01,4.7500000,212561139.0240000
