DS,mean,coefficient of variation
1,0.26910562894491885,0.61971198438417485
2,0.57855562010635819,0.6472391824238567
3,0.71094148342596675,0.6546044315845515
4,0.80223147844043541,0.65783340877005703
5,0.90181700320551528,0.6603860706051452
